authorshipnumber,articlenumber,journal,volume,issue,startpage,pubyear,pubmonth,receiveddate,title,link1,link2,last,first,middle,position
402,49,Ophthalmology,124,4,464,2017,4,17-Aug-16,Imaging Protocols in Clinical Studies in Advanced Age-Related Macular Degeneration: Recommendations from Classification of Atrophy Consensus Meetings.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28109563,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28109563&id=doi:10.1016%2Fj.ophtha.2016.12.002&issn=0161-6420&isbn=&volume=124&issue=4&spage=464&date=2017&title=Ophthalmology&atitle=Imaging+Protocols+in+Clinical+Studies+in+Advanced+Age-Related+Macular+Degeneration%3A+Recommendations+from+Classification+of+Atrophy+Consensus+Meetings.&aulast=Holz&pid=%3CAN%3E28109563%3C%2FAN%3E,Sarraf,David,,m
403,49,Ophthalmology,124,4,464,2017,4,17-Aug-16,Imaging Protocols in Clinical Studies in Advanced Age-Related Macular Degeneration: Recommendations from Classification of Atrophy Consensus Meetings.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28109563,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28109563&id=doi:10.1016%2Fj.ophtha.2016.12.002&issn=0161-6420&isbn=&volume=124&issue=4&spage=464&date=2017&title=Ophthalmology&atitle=Imaging+Protocols+in+Clinical+Studies+in+Advanced+Age-Related+Macular+Degeneration%3A+Recommendations+from+Classification+of+Atrophy+Consensus+Meetings.&aulast=Holz&pid=%3CAN%3E28109563%3C%2FAN%3E,Spaide,Richard,F,m
404,49,Ophthalmology,124,4,464,2017,4,17-Aug-16,Imaging Protocols in Clinical Studies in Advanced Age-Related Macular Degeneration: Recommendations from Classification of Atrophy Consensus Meetings.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28109563,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28109563&id=doi:10.1016%2Fj.ophtha.2016.12.002&issn=0161-6420&isbn=&volume=124&issue=4&spage=464&date=2017&title=Ophthalmology&atitle=Imaging+Protocols+in+Clinical+Studies+in+Advanced+Age-Related+Macular+Degeneration%3A+Recommendations+from+Classification+of+Atrophy+Consensus+Meetings.&aulast=Holz&pid=%3CAN%3E28109563%3C%2FAN%3E,Tadayoni,Ramin,,m
405,49,Ophthalmology,124,4,464,2017,4,17-Aug-16,Imaging Protocols in Clinical Studies in Advanced Age-Related Macular Degeneration: Recommendations from Classification of Atrophy Consensus Meetings.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28109563,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28109563&id=doi:10.1016%2Fj.ophtha.2016.12.002&issn=0161-6420&isbn=&volume=124&issue=4&spage=464&date=2017&title=Ophthalmology&atitle=Imaging+Protocols+in+Clinical+Studies+in+Advanced+Age-Related+Macular+Degeneration%3A+Recommendations+from+Classification+of+Atrophy+Consensus+Meetings.&aulast=Holz&pid=%3CAN%3E28109563%3C%2FAN%3E,Tufail,Adnan,,m
406,49,Ophthalmology,124,4,464,2017,4,17-Aug-16,Imaging Protocols in Clinical Studies in Advanced Age-Related Macular Degeneration: Recommendations from Classification of Atrophy Consensus Meetings.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28109563,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28109563&id=doi:10.1016%2Fj.ophtha.2016.12.002&issn=0161-6420&isbn=&volume=124&issue=4&spage=464&date=2017&title=Ophthalmology&atitle=Imaging+Protocols+in+Clinical+Studies+in+Advanced+Age-Related+Macular+Degeneration%3A+Recommendations+from+Classification+of+Atrophy+Consensus+Meetings.&aulast=Holz&pid=%3CAN%3E28109563%3C%2FAN%3E,Wolf,Sebastian,,m
407,49,Ophthalmology,124,4,464,2017,4,17-Aug-16,Imaging Protocols in Clinical Studies in Advanced Age-Related Macular Degeneration: Recommendations from Classification of Atrophy Consensus Meetings.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28109563,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28109563&id=doi:10.1016%2Fj.ophtha.2016.12.002&issn=0161-6420&isbn=&volume=124&issue=4&spage=464&date=2017&title=Ophthalmology&atitle=Imaging+Protocols+in+Clinical+Studies+in+Advanced+Age-Related+Macular+Degeneration%3A+Recommendations+from+Classification+of+Atrophy+Consensus+Meetings.&aulast=Holz&pid=%3CAN%3E28109563%3C%2FAN%3E,Schmitz-Valckenberg,Steffen,,m
408,50,Ophthalmology,124,4,479,2017,4,2-Oct-16,Peripheral Retinal Changes Associated with Age-Related Macular Degeneration in the Age-Related Eye Disease Study 2: Age-Related Eye Disease Study 2 Report Number 12 by the Age-Related Eye Disease Study 2 Optos PEripheral RetinA (OPERA) Study Research Group.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28089680,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28089680&id=doi:10.1016%2Fj.ophtha.2016.12.004&issn=0161-6420&isbn=&volume=124&issue=4&spage=479&date=2017&title=Ophthalmology&atitle=Peripheral+Retinal+Changes+Associated+with+Age-Related+Macular+Degeneration+in+the+Age-Related+Eye+Disease+Study+2%3A+Age-Related+Eye+Disease+Study+2+Report+Number+12+by+the+Age-Related+Eye+Disease+Study+2+Optos+PEripheral+RetinA+%28OPERA%29+Study+Research+Group.&aulast=Domalpally&pid=%3CAN%3E28089680%3C%2FAN%3E,Domalpally,Amitha,,m
409,50,Ophthalmology,124,4,479,2017,4,2-Oct-16,Peripheral Retinal Changes Associated with Age-Related Macular Degeneration in the Age-Related Eye Disease Study 2: Age-Related Eye Disease Study 2 Report Number 12 by the Age-Related Eye Disease Study 2 Optos PEripheral RetinA (OPERA) Study Research Group.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28089680,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28089680&id=doi:10.1016%2Fj.ophtha.2016.12.004&issn=0161-6420&isbn=&volume=124&issue=4&spage=479&date=2017&title=Ophthalmology&atitle=Peripheral+Retinal+Changes+Associated+with+Age-Related+Macular+Degeneration+in+the+Age-Related+Eye+Disease+Study+2%3A+Age-Related+Eye+Disease+Study+2+Report+Number+12+by+the+Age-Related+Eye+Disease+Study+2+Optos+PEripheral+RetinA+%28OPERA%29+Study+Research+Group.&aulast=Domalpally&pid=%3CAN%3E28089680%3C%2FAN%3E,Clemons,Traci,E,m
410,50,Ophthalmology,124,4,479,2017,4,2-Oct-16,Peripheral Retinal Changes Associated with Age-Related Macular Degeneration in the Age-Related Eye Disease Study 2: Age-Related Eye Disease Study 2 Report Number 12 by the Age-Related Eye Disease Study 2 Optos PEripheral RetinA (OPERA) Study Research Group.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28089680,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28089680&id=doi:10.1016%2Fj.ophtha.2016.12.004&issn=0161-6420&isbn=&volume=124&issue=4&spage=479&date=2017&title=Ophthalmology&atitle=Peripheral+Retinal+Changes+Associated+with+Age-Related+Macular+Degeneration+in+the+Age-Related+Eye+Disease+Study+2%3A+Age-Related+Eye+Disease+Study+2+Report+Number+12+by+the+Age-Related+Eye+Disease+Study+2+Optos+PEripheral+RetinA+%28OPERA%29+Study+Research+Group.&aulast=Domalpally&pid=%3CAN%3E28089680%3C%2FAN%3E,Danis,Ronald,P,m
411,50,Ophthalmology,124,4,479,2017,4,2-Oct-16,Peripheral Retinal Changes Associated with Age-Related Macular Degeneration in the Age-Related Eye Disease Study 2: Age-Related Eye Disease Study 2 Report Number 12 by the Age-Related Eye Disease Study 2 Optos PEripheral RetinA (OPERA) Study Research Group.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28089680,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28089680&id=doi:10.1016%2Fj.ophtha.2016.12.004&issn=0161-6420&isbn=&volume=124&issue=4&spage=479&date=2017&title=Ophthalmology&atitle=Peripheral+Retinal+Changes+Associated+with+Age-Related+Macular+Degeneration+in+the+Age-Related+Eye+Disease+Study+2%3A+Age-Related+Eye+Disease+Study+2+Report+Number+12+by+the+Age-Related+Eye+Disease+Study+2+Optos+PEripheral+RetinA+%28OPERA%29+Study+Research+Group.&aulast=Domalpally&pid=%3CAN%3E28089680%3C%2FAN%3E,Sadda,SriniVas,R,m
412,50,Ophthalmology,124,4,479,2017,4,2-Oct-16,Peripheral Retinal Changes Associated with Age-Related Macular Degeneration in the Age-Related Eye Disease Study 2: Age-Related Eye Disease Study 2 Report Number 12 by the Age-Related Eye Disease Study 2 Optos PEripheral RetinA (OPERA) Study Research Group.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28089680,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28089680&id=doi:10.1016%2Fj.ophtha.2016.12.004&issn=0161-6420&isbn=&volume=124&issue=4&spage=479&date=2017&title=Ophthalmology&atitle=Peripheral+Retinal+Changes+Associated+with+Age-Related+Macular+Degeneration+in+the+Age-Related+Eye+Disease+Study+2%3A+Age-Related+Eye+Disease+Study+2+Report+Number+12+by+the+Age-Related+Eye+Disease+Study+2+Optos+PEripheral+RetinA+%28OPERA%29+Study+Research+Group.&aulast=Domalpally&pid=%3CAN%3E28089680%3C%2FAN%3E,Cukras,Catherine,A,m
413,50,Ophthalmology,124,4,479,2017,4,2-Oct-16,Peripheral Retinal Changes Associated with Age-Related Macular Degeneration in the Age-Related Eye Disease Study 2: Age-Related Eye Disease Study 2 Report Number 12 by the Age-Related Eye Disease Study 2 Optos PEripheral RetinA (OPERA) Study Research Group.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28089680,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28089680&id=doi:10.1016%2Fj.ophtha.2016.12.004&issn=0161-6420&isbn=&volume=124&issue=4&spage=479&date=2017&title=Ophthalmology&atitle=Peripheral+Retinal+Changes+Associated+with+Age-Related+Macular+Degeneration+in+the+Age-Related+Eye+Disease+Study+2%3A+Age-Related+Eye+Disease+Study+2+Report+Number+12+by+the+Age-Related+Eye+Disease+Study+2+Optos+PEripheral+RetinA+%28OPERA%29+Study+Research+Group.&aulast=Domalpally&pid=%3CAN%3E28089680%3C%2FAN%3E,Toth,Cynthia,A,m
414,50,Ophthalmology,124,4,479,2017,4,2-Oct-16,Peripheral Retinal Changes Associated with Age-Related Macular Degeneration in the Age-Related Eye Disease Study 2: Age-Related Eye Disease Study 2 Report Number 12 by the Age-Related Eye Disease Study 2 Optos PEripheral RetinA (OPERA) Study Research Group.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28089680,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28089680&id=doi:10.1016%2Fj.ophtha.2016.12.004&issn=0161-6420&isbn=&volume=124&issue=4&spage=479&date=2017&title=Ophthalmology&atitle=Peripheral+Retinal+Changes+Associated+with+Age-Related+Macular+Degeneration+in+the+Age-Related+Eye+Disease+Study+2%3A+Age-Related+Eye+Disease+Study+2+Report+Number+12+by+the+Age-Related+Eye+Disease+Study+2+Optos+PEripheral+RetinA+%28OPERA%29+Study+Research+Group.&aulast=Domalpally&pid=%3CAN%3E28089680%3C%2FAN%3E,Friberg,Thomas,R,m
415,50,Ophthalmology,124,4,479,2017,4,2-Oct-16,Peripheral Retinal Changes Associated with Age-Related Macular Degeneration in the Age-Related Eye Disease Study 2: Age-Related Eye Disease Study 2 Report Number 12 by the Age-Related Eye Disease Study 2 Optos PEripheral RetinA (OPERA) Study Research Group.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28089680,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28089680&id=doi:10.1016%2Fj.ophtha.2016.12.004&issn=0161-6420&isbn=&volume=124&issue=4&spage=479&date=2017&title=Ophthalmology&atitle=Peripheral+Retinal+Changes+Associated+with+Age-Related+Macular+Degeneration+in+the+Age-Related+Eye+Disease+Study+2%3A+Age-Related+Eye+Disease+Study+2+Report+Number+12+by+the+Age-Related+Eye+Disease+Study+2+Optos+PEripheral+RetinA+%28OPERA%29+Study+Research+Group.&aulast=Domalpally&pid=%3CAN%3E28089680%3C%2FAN%3E,Chew,Emily,Y,l
416,51,Ophthalmology,124,4,488,2017,4,1-Nov-16,Efficacy and Toxicity of Intravitreous Chemotherapy for Retinoblastoma: Four-Year Experience.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28089679,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28089679&id=doi:10.1016%2Fj.ophtha.2016.12.015&issn=0161-6420&isbn=&volume=124&issue=4&spage=488&date=2017&title=Ophthalmology&atitle=Efficacy+and+Toxicity+of+Intravitreous+Chemotherapy+for+Retinoblastoma%3A+Four-Year+Experience.&aulast=Francis&pid=%3CAN%3E28089679%3C%2FAN%3E,Francis,Jasmine,H,f
417,51,Ophthalmology,124,4,488,2017,4,1-Nov-16,Efficacy and Toxicity of Intravitreous Chemotherapy for Retinoblastoma: Four-Year Experience.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28089679,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28089679&id=doi:10.1016%2Fj.ophtha.2016.12.015&issn=0161-6420&isbn=&volume=124&issue=4&spage=488&date=2017&title=Ophthalmology&atitle=Efficacy+and+Toxicity+of+Intravitreous+Chemotherapy+for+Retinoblastoma%3A+Four-Year+Experience.&aulast=Francis&pid=%3CAN%3E28089679%3C%2FAN%3E,Brodie,Scott,E,m
418,51,Ophthalmology,124,4,488,2017,4,1-Nov-16,Efficacy and Toxicity of Intravitreous Chemotherapy for Retinoblastoma: Four-Year Experience.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28089679,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28089679&id=doi:10.1016%2Fj.ophtha.2016.12.015&issn=0161-6420&isbn=&volume=124&issue=4&spage=488&date=2017&title=Ophthalmology&atitle=Efficacy+and+Toxicity+of+Intravitreous+Chemotherapy+for+Retinoblastoma%3A+Four-Year+Experience.&aulast=Francis&pid=%3CAN%3E28089679%3C%2FAN%3E,Marr,Brian,,m
419,51,Ophthalmology,124,4,488,2017,4,1-Nov-16,Efficacy and Toxicity of Intravitreous Chemotherapy for Retinoblastoma: Four-Year Experience.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28089679,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28089679&id=doi:10.1016%2Fj.ophtha.2016.12.015&issn=0161-6420&isbn=&volume=124&issue=4&spage=488&date=2017&title=Ophthalmology&atitle=Efficacy+and+Toxicity+of+Intravitreous+Chemotherapy+for+Retinoblastoma%3A+Four-Year+Experience.&aulast=Francis&pid=%3CAN%3E28089679%3C%2FAN%3E,Zabor,Emily,C,m
420,51,Ophthalmology,124,4,488,2017,4,1-Nov-16,Efficacy and Toxicity of Intravitreous Chemotherapy for Retinoblastoma: Four-Year Experience.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28089679,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28089679&id=doi:10.1016%2Fj.ophtha.2016.12.015&issn=0161-6420&isbn=&volume=124&issue=4&spage=488&date=2017&title=Ophthalmology&atitle=Efficacy+and+Toxicity+of+Intravitreous+Chemotherapy+for+Retinoblastoma%3A+Four-Year+Experience.&aulast=Francis&pid=%3CAN%3E28089679%3C%2FAN%3E,Mondesire-Crump,Ijah,,m
421,51,Ophthalmology,124,4,488,2017,4,1-Nov-16,Efficacy and Toxicity of Intravitreous Chemotherapy for Retinoblastoma: Four-Year Experience.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28089679,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28089679&id=doi:10.1016%2Fj.ophtha.2016.12.015&issn=0161-6420&isbn=&volume=124&issue=4&spage=488&date=2017&title=Ophthalmology&atitle=Efficacy+and+Toxicity+of+Intravitreous+Chemotherapy+for+Retinoblastoma%3A+Four-Year+Experience.&aulast=Francis&pid=%3CAN%3E28089679%3C%2FAN%3E,Abramson,David,H,l
422,52,Ophthalmology,124,4,496,2017,4,5-Oct-16,Capturing the Moment of Fusion Loss in Intermittent Exotropia.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28081943,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28081943&id=doi:10.1016%2Fj.ophtha.2016.11.039&issn=0161-6420&isbn=&volume=124&issue=4&spage=496&date=2017&title=Ophthalmology&atitle=Capturing+the+Moment+of+Fusion+Loss+in+Intermittent+Exotropia.&aulast=Economides&pid=%3CAN%3E28081943%3C%2FAN%3E,Economides,John,R,f
423,52,Ophthalmology,124,4,496,2017,4,5-Oct-16,Capturing the Moment of Fusion Loss in Intermittent Exotropia.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28081943,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28081943&id=doi:10.1016%2Fj.ophtha.2016.11.039&issn=0161-6420&isbn=&volume=124&issue=4&spage=496&date=2017&title=Ophthalmology&atitle=Capturing+the+Moment+of+Fusion+Loss+in+Intermittent+Exotropia.&aulast=Economides&pid=%3CAN%3E28081943%3C%2FAN%3E,Adams,Daniel,L,m
424,52,Ophthalmology,124,4,496,2017,4,5-Oct-16,Capturing the Moment of Fusion Loss in Intermittent Exotropia.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28081943,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28081943&id=doi:10.1016%2Fj.ophtha.2016.11.039&issn=0161-6420&isbn=&volume=124&issue=4&spage=496&date=2017&title=Ophthalmology&atitle=Capturing+the+Moment+of+Fusion+Loss+in+Intermittent+Exotropia.&aulast=Economides&pid=%3CAN%3E28081943%3C%2FAN%3E,Horton,Jonathan,C,l
425,53,Ophthalmology,124,4,505,2017,4,30-Aug-16,A Metabolome-Wide Study of Dry Eye Disease Reveals Serum Androgens as Biomarkers.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28139245,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28139245&id=doi:10.1016%2Fj.ophtha.2016.12.011&issn=0161-6420&isbn=&volume=124&issue=4&spage=505&date=2017&title=Ophthalmology&atitle=A+Metabolome-Wide+Study+of+Dry+Eye+Disease+Reveals+Serum+Androgens+as+Biomarkers.&aulast=Vehof&pid=%3CAN%3E28139245%3C%2FAN%3E,Vehof,Jelle,,f
426,53,Ophthalmology,124,4,505,2017,4,30-Aug-16,A Metabolome-Wide Study of Dry Eye Disease Reveals Serum Androgens as Biomarkers.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28139245,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28139245&id=doi:10.1016%2Fj.ophtha.2016.12.011&issn=0161-6420&isbn=&volume=124&issue=4&spage=505&date=2017&title=Ophthalmology&atitle=A+Metabolome-Wide+Study+of+Dry+Eye+Disease+Reveals+Serum+Androgens+as+Biomarkers.&aulast=Vehof&pid=%3CAN%3E28139245%3C%2FAN%3E,Hysi,Pirro,G,m
427,53,Ophthalmology,124,4,505,2017,4,30-Aug-16,A Metabolome-Wide Study of Dry Eye Disease Reveals Serum Androgens as Biomarkers.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28139245,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28139245&id=doi:10.1016%2Fj.ophtha.2016.12.011&issn=0161-6420&isbn=&volume=124&issue=4&spage=505&date=2017&title=Ophthalmology&atitle=A+Metabolome-Wide+Study+of+Dry+Eye+Disease+Reveals+Serum+Androgens+as+Biomarkers.&aulast=Vehof&pid=%3CAN%3E28139245%3C%2FAN%3E,Hammond,Christopher,J,l
428,54,Ophthalmology,124,4,512,2017,4,24-Oct-16,Incidence and Clinical Course of Immune Reactions after Descemet Membrane Endothelial Keratoplasty: Retrospective Analysis of 1000 Consecutive Eyes.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28094043,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28094043&id=doi:10.1016%2Fj.ophtha.2016.12.017&issn=0161-6420&isbn=&volume=124&issue=4&spage=512&date=2017&title=Ophthalmology&atitle=Incidence+and+Clinical+Course+of+Immune+Reactions+after+Descemet+Membrane+Endothelial+Keratoplasty%3A+Retrospective+Analysis+of+1000+Consecutive+Eyes.&aulast=Hos&pid=%3CAN%3E28094043%3C%2FAN%3E,Hos,Deniz,,f
429,54,Ophthalmology,124,4,512,2017,4,24-Oct-16,Incidence and Clinical Course of Immune Reactions after Descemet Membrane Endothelial Keratoplasty: Retrospective Analysis of 1000 Consecutive Eyes.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28094043,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28094043&id=doi:10.1016%2Fj.ophtha.2016.12.017&issn=0161-6420&isbn=&volume=124&issue=4&spage=512&date=2017&title=Ophthalmology&atitle=Incidence+and+Clinical+Course+of+Immune+Reactions+after+Descemet+Membrane+Endothelial+Keratoplasty%3A+Retrospective+Analysis+of+1000+Consecutive+Eyes.&aulast=Hos&pid=%3CAN%3E28094043%3C%2FAN%3E,Tuac,Onur,,m
430,54,Ophthalmology,124,4,512,2017,4,24-Oct-16,Incidence and Clinical Course of Immune Reactions after Descemet Membrane Endothelial Keratoplasty: Retrospective Analysis of 1000 Consecutive Eyes.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28094043,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28094043&id=doi:10.1016%2Fj.ophtha.2016.12.017&issn=0161-6420&isbn=&volume=124&issue=4&spage=512&date=2017&title=Ophthalmology&atitle=Incidence+and+Clinical+Course+of+Immune+Reactions+after+Descemet+Membrane+Endothelial+Keratoplasty%3A+Retrospective+Analysis+of+1000+Consecutive+Eyes.&aulast=Hos&pid=%3CAN%3E28094043%3C%2FAN%3E,Schaub,Friederike,,m
431,54,Ophthalmology,124,4,512,2017,4,24-Oct-16,Incidence and Clinical Course of Immune Reactions after Descemet Membrane Endothelial Keratoplasty: Retrospective Analysis of 1000 Consecutive Eyes.,https://login.proxy.lib.mcw.edu/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med13&AN=28094043,http://mcw.on.worldcat.org/atoztitles/link?url=http://linksource.ebsco.com/linking.aspx?sid=OVID:medline&id=pmid:28094043&id=doi:10.1016%2Fj.ophtha.2016.12.017&issn=0161-6420&isbn=&volume=124&issue=4&spage=512&date=2017&title=Ophthalmology&atitle=Incidence+and+Clinical+Course+of+Immune+Reactions+after+Descemet+Membrane+Endothelial+Keratoplasty%3A+Retrospective+Analysis+of+1000+Consecutive+Eyes.&aulast=Hos&pid=%3CAN%3E28094043%3C%2FAN%3E,Stanzel,Tisha,P,m
